Date	Species	Strain	logCFU	CFU
20200902	CG	CG.3	2.301029996	200
20200902	CG	CG.3	2.602059991	400
20200902	CG	CG.3	2.77815125	600
20200902	CG	CG.3	2.602059991	400
20200902	CG	CG.3	3	1000
20200902	CG	CG.3	3.301029996	2000
20200902	CG	CG.3	0	0
20200902	CG	CG.3	0	0
20201017	CG	CG.A1.9	0	0
20201017	CG	CG.A1.9	0	0
20201017	CG	CG.A1.9	3.903089987	8000
20201017	CG	CG.A1.9	2.903089987	800
20201017	CG	CG.A1.9	0	0
20201017	CG	CG.A1.9	2.602059991	400
20201017	CG	CG.A1.9	4.763427994	58000
20201017	CG	CG.A1.9	4.73239376	54000
20201017	CG	CG.A1.9	3	1000
20201017	CG	CG.A1.9	2.903089987	800
20201017	CG	CG.A1.9	2.77815125	600
20201017	CG	CG.A1.9	0	0
20200902	CG	CG.A1.9	0	0
20200902	CG	CG.A1.9	0	0
20200902	CG	CG.A1.9	3.832508913	6800
20200902	CG	CG.A1.9	2.301029996	200
20200902	CG	CG.A1.9	3.380211242	2400
20200902	CG	CG.A1.9	0	0
20200902	CG	CG.A1.9	3.146128036	1400
20200902	CG	CG.A1.9	0	0
20200902	CG	CG.A1.9	2.301029996	200
20200902	CG	CG.A1.9	0	0
20200902	CG	CG.A1.9	3.643452676	4400
20200902	CG	CG.A1.9	0	0
20220425	CG	CG.I2.9	0	0
20220425	CG	CG.I2.9	2.301029996	200
20220425	CG	CG.I2.9	0	0
20220425	CG	CG.I2.9	0	0
20220425	CG	CG.I2.9	4.079181246	12000
20220425	CG	CG.I2.9	3	1000
20220425	CG	CG.I2.9	0	0
20220425	CG	CG.I2.9	2.602059991	400
20220425	CG	CG.I2.9	0	0
20220425	CG	CG.I2.9	4.380211242	24000
20220425	CG	CG.I2.9	3.146128036	1400
20220425	CG	CG.I2.9	4.079181246	12000
20220425	CG	CG.I2.9	4.447158031	28000
20220425	CG	CG.I2.9	3.079181246	1200
20220425	CG	CG.I2.9	0	0
20220425	CG	CG.I2.9	4.477121255	30000
20220425	CG	CG.I2.9	4.414973348	26000
20220425	CG	CG.I2.9	5	100000
20220425	CG	CG.I2.9	2.77815125	600
20220425	CG	CG.I2.9	4.556302501	36000
20220425	CG	CG.I2.9	0	0
20220425	CG	CG.I2.9	0	0
20220425	CG	CG.I2.9	3.146128036	1400
20220425	CG	CG.I2.9	3.204119983	1600
20200429	CG	CG.I2.9	0	0
20200429	CG	CG.I2.9	3.556302501	3600
20200429	CG	CG.I2.9	2.301029996	200
20200429	CG	CG.I2.9	0	0
20200429	CG	CG.I2.9	3.477121255	3000
20200429	CG	CG.I2.9	0	0
20200429	CG	CG.I2.9	3.255272505	1800
20200429	CG	CG.I2.9	2.602059991	400
20200429	CG	CG.I2.9	0	0
20200429	CG	CG.I2.9	0	0
20200429	CG	CG.I2.9	2.301029996	200
20200429	CG	CG.I2.9	0	0
20200429	CG	CG.I2.9	3.079181246	1200
20200429	CG	CG.I2.9	0	0
20200429	CG	CG.I2.9	0	0
20200429	CG	CG.I2.9	3.146128036	1400
20200429	CG	CG.I2.9	0	0
20200429	CG	CG.I2.9	0	0
20200429	CG	CG.I2.9	0	0
20200429	CG	CG.I2.9	4.204119983	16000
20200429	CG	CG.I2.9	0	0
20200429	CG	CG.I2.9	3.301029996	2000
20200429	CG	CG.I2.9	0	0
20200429	CG	CG.I2.9	0	0
20210926	AA	AA.0	4.77815125	60000
20210926	AA	AA.0	4.77815125	60000
20210926	AA	AA.0	4.698970004	50000
20210926	AA	AA.0	4.698970004	50000
20210926	AA	AA.0	4.643452676	44000
20210926	AA	AA.0	4.602059991	40000
20210926	AA	AA.0	4.579783597	38000
20210926	AA	AA.0	3.414973348	2600
20210926	AA	AA.0	3.380211242	2400
20210926	AA	AA.0	3.380211242	2400
20210926	AA	AA.0	3.255272505	1800
20210926	AA	AA.0	3.255272505	1800
20201206	AA	AA.0	3.748188027	5600
20201206	AA	AA.0	3.716003344	5200
20201206	AA	AA.0	3.447158031	2800
20201206	AA	AA.0	3.342422681	2200
20201206	AA	AA.0	3.301029996	2000
20201206	AA	AA.0	3.301029996	2000
20201206	AA	AA.0	2.681241237	480
20201206	AA	AA.0	2.662757832	460
20201206	AA	AA.0	2.414973348	260
20201206	AA	AA.0	2.301029996	200
20201206	AA	AA.0	2.301029996	200
20201206	AA	AA.0	2.146128036	140
20210926	AA	AA.1	4.698970004	50000
20210926	AA	AA.1	4.643452676	44000
20210926	AA	AA.1	4.62324929	42000
20210926	AA	AA.1	4.602059991	40000
20210926	AA	AA.1	4.602059991	40000
20210926	AA	AA.1	4.556302501	36000
20210926	AA	AA.1	3.556302501	3600
20210926	AA	AA.1	3.477121255	3000
20210926	AA	AA.1	3.414973348	2600
20210926	AA	AA.1	3.342422681	2200
20210926	AA	AA.1	3.204119983	1600
20210926	AA	AA.1	3	1000
20201206	AA	AA.1	4.806179974	64000
20201206	AA	AA.1	4.079181246	12000
20201206	AA	AA.1	3.982271233	9600
20201206	AA	AA.1	3.681241237	4800
20201206	AA	AA.1	3.602059991	4000
20201206	AA	AA.1	3.531478917	3400
20201206	AA	AA.1	3.301029996	2000
20201206	AA	AA.1	3.255272505	1800
